data;consumo_energia_eletrica_GWh
jan/79;7.947
fev/79;7.859
mar/79;8.108
abr/79;8.138
mai/79;8.355
jun/79;8.379
jul/79;8.455
ago/79;8.496
set/79;8.805
out/79;8.682
nov/79;8.963
dez/79;8.959
jan/80;9.003
fev/80;8.891
mar/80;8.956
abr/80;9.066
mai/80;9.251
jun/80;9.298
jul/80;9.234
ago/80;9.679
set/80;9.614
out/80;9.608
nov/80;9.954
dez/80;9.501
jan/81;10.102
fev/81;9.468
mar/81;9.804
abr/81;9.405
mai/81;9.656
jun/81;9.36
jul/81;9.47
ago/81;9.752
set/81;9.486
out/81;9.589
nov/81;9.781
dez/81;9.529
jan/82;9.885
fev/82;9.393
mar/82;9.712
abr/82;10.447
mai/82;9.999
jun/82;10.193
jul/82;10.325
ago/82;10.541
set/82;10.698
out/82;10.515
nov/82;10.644
dez/82;10.453
jan/83;10.63
fev/83;10.253
mar/83;10.36
abr/83;11.266
mai/83;10.788
jun/83;11.411
jul/83;10.945
ago/83;11.077
set/83;11.608
out/83;11.402
nov/83;11.366
dez/83;11.332
jan/84;11.642
fev/84;11.968
mar/84;12.207
abr/84;11.626
mai/84;12.031
jun/84;12.277
jul/84;12.21
ago/84;12.698
set/84;12.953
out/84;12.52
nov/84;13.42
dez/84;12.845
jan/85;13.204
fev/85;13.114
mar/85;13.079
abr/85;13.651
mai/85;13.224
jun/85;13.528
jul/85;12.965
ago/85;13.969
set/85;13.918
out/85;14.002
nov/85;14.32
dez/85;14.041
jan/86;14.12
fev/86;13.709
mar/86;13.152
abr/86;13.894
mai/86;14.756
jun/86;14.514
jul/86;14.502
ago/86;15.227
set/86;15.028
out/86;15.124
nov/86;15.559
dez/86;14.685
jan/87;15.698
fev/87;14.422
mar/87;14.885
abr/87;14.412
mai/87;14.94
jun/87;14.357
jul/87;14.618
ago/87;15.267
set/87;15.093
out/87;15.22
nov/87;15.568
dez/87;15.092
jan/88;15.798
fev/88;15.379
mar/88;15.466
abr/88;16.087
mai/88;15.117
jun/88;15.482
jul/88;15.649
ago/88;15.529
set/88;16.418
out/88;16.286
nov/88;15.592
dez/88;15.794
jan/89;15.882
fev/89;16.006
mar/89;15.232
abr/89;16.51
mai/89;15.872
jun/89;16.383
jul/89;16.669
ago/89;16.566
set/89;17.513
out/89;16.81
nov/89;17.208
dez/89;16.534
jan/90;16.919
fev/90;16.907
mar/90;16.513
abr/90;16.626
mai/90;15.357
jun/90;16.266
jul/90;16.025
ago/90;16.8
set/90;17.602
out/90;16.974
nov/90;17.837
dez/90;16.813
jan/91;16.795
fev/91;16.892
mar/91;16.01
abr/91;16.876
mai/91;17.439
jun/91;17.744
jul/91;17.276
ago/91;18.179
set/91;18.214
out/91;17.986
nov/91;18.373
dez/91;17.624
jan/92;17.75
fev/92;17.706
mar/92;17.71
abr/92;17.306
mai/92;17.81
jun/92;17.424
jul/92;17.665
ago/92;18.107
set/92;17.827
out/92;17.821
nov/92;18.111
dez/92;17.52
jan/93;18.07
fev/93;17.416
mar/93;17.781
abr/93;19.1
mai/93;18.312
jun/93;18.316
jul/93;18.259
ago/93;18.673
set/93;18.881
out/93;18.63
nov/93;18.879
dez/93;18.331
jan/94;18.513
fev/94;18.164
mar/94;18.13
abr/94;19.073
mai/94;18.179
jun/94;18.851
jul/94;18.177
ago/94;18.558
set/94;19.666
out/94;19.597
